Source	Target	#inTop50	#inCorpus	judgement	similarity
איטליה	שוועדן	1	8	True	0.837317705154419
איטליה	שנספחה	3	8	False	0.8359116911888123
איטליה	האלאנדיא	1	1	True	0.8315351009368896
איטליה	אסטרייך	2	13	True	0.829413115978241
איטליה	ודעננעמארק	1	2	True	0.8237401247024536
איטליה	בורגונדיא	1	2	True	0.8226385116577148
איטליה	והולאנדיא	1	5	True	0.8210782408714294
איטליה	וקסרית	1	3	False	0.8196381330490112
איטליה	פארטוגאל	2	38	True	0.8176971673965454
איטליה	ודאנעמארק	1	0	True	0.817598819732666
איטליה	וזאקסען	1	3	True	0.8157808184623718
איטליה	ובעלגיען	1	26	True	0.8150174617767334
איידטקוהנען	יאליסאוועטגראד	1	1	True	0.8337305784225464
איידטקוהנען	איצניע	9	2	True	0.8334885835647583
איידטקוהנען	וסובאלק	7	5	True	0.8275830149650574
איידטקוהנען	בפרייסין	2	11	True	0.8264317512512207
איידטקוהנען	קאליפארני	3	2	True	0.8258551359176636
איידטקוהנען	ניישטארט	2	1	True	0.8241392970085144
איסטאמבול	סטאנטארד	1	1	True	0.8952071666717529
איסטאמבול	איטטיהאד	1	0	False	0.8925816416740417
איסטאמבול	הבריססלי	1	3	False	0.8911457061767578
איסטאמבול	בהתועדות	1	4	False	0.8909451961517334
איסטאמבול	יחבריו	1	2	False	0.8906772136688232
איסטאמבול	רעפובליקע	1	0	False	0.8904168009757996
אירקוטסק	קארלאווא	8	7	True	0.8773590326309204
אירקוטסק	טווער	8	19	True	0.8737943172454834
אירקוטסק	פלאיעשטי	11	4	True	0.861977219581604
אירקוטסק	אוגוסטאוו	29	6	True	0.8546401262283325
אירקוטסק	ראדיוויל	5	9	True	0.8530761003494263
אירקוטסק	בעססאראביע	4	7	True	0.8522387742996216
אירקוטסק	פיעטרקאב	11	2	True	0.8517131805419922
אירקוטסק	מהוז	2	10	False	0.8508626222610474
אירקוטסק	קובאן	2	7	True	0.8499346971511841
אירקוטסק	חיפו	13	12	True	0.8490933179855347
אירקוטסק	פאדאליע	4	10	True	0.8482537269592285
אירקוטסק	טאמסק	1	14	True	0.8469856977462769
אירקוטסק	ניקאלאיוב	5	3	True	0.8466873168945312
אירקוטסק	קאזאן	2	14	True	0.8462293148040771
אירקוטסק	באלבירישאק	4	6	True	0.845490574836731
אירקוטסק	שפאלא	11	8	True	0.8453114032745361
אלגיר	טונים	3	383	True	0.8531301021575928
אלגיר	טראנסוואל	2	20	True	0.8367371559143066
אלגיר	טריפאלים	3	28	True	0.8041434288024902
אלגיר	אלגיער	2	24	True	0.8008800148963928
אלגיר	באלגיר	2	184	True	0.8004899024963379
אלגיר	ותונים	2	14	True	0.7971047163009644
אלגיר	תונים	3	217	True	0.7966922521591187
אלגיר	מדינת	2	1062	False	0.7950237989425659
אלגיר	קארעא	3	7	True	0.7914625406265259
אלגיר	טריפאליס	4	24	True	0.7842066287994385
אלגיר	צאנציבאר	2	7	True	0.7831411361694336
אלגיר	וטונים	2	19	True	0.7831196784973145
אלגיר	והנגב	2	7	False	0.782533586025238
אלגיר	הוללאנד	3	59	True	0.7821524143218994
אלגיר	טורקעסטאן	2	46	True	0.7809587717056274
אלגיר	יעמען	2	17	True	0.7800756692886353
אלגיר	טורקיסטאן	2	9	True	0.7789939045906067
אלגיר	טונים	3	383	True	0.8531301021575928
אלגיר	טראנסוואל	2	20	True	0.8367371559143066
אלגיר	טריפאלים	3	28	True	0.8041434288024902
אלגיר	אלגיער	2	24	True	0.8008800148963928
אלגיר	באלגיר	2	184	True	0.8004899024963379
אלגיר	תונים	3	217	True	0.7966922521591187
אלגיר	מדינת	2	1062	False	0.7950237989425659
אלגיר	קארעא	3	7	True	0.7914625406265259
אלגיר	טריפאליס	4	24	True	0.7842066287994385
אלגיר	צאנציבאר	2	7	True	0.7831411361694336
אלגיר	וטונים	2	19	True	0.7831196784973145
אלגיר	והנגב	2	7	False	0.782533586025238
אלגיר	הוללאנד	3	59	True	0.7821524143218994
אלגיר	טורקעסטאן	2	46	True	0.7809587717056274
אלגיר	יעמען	2	17	True	0.7800756692886353
אלגיר	טורקיסטאן	2	9	True	0.7789939045906067
אלטאנא	לויטענבורג	16	10	True	0.8457614183425903
אלטאנא	שילדבערג	6	9	True	0.8452819585800171
אלטאנא	קראקויא	21	42	True	0.8426311016082764
אלטאנא	נארדהויזען	10	3	True	0.8411085605621338
אלטאנא	סערדאהעללי	17	0	True	0.8362964391708374
אלטאנא	יוגהיים	11	1	True	0.8346593976020813
אלטאנא	אשפצין	20	2	True	0.8297315835952759
אלטאנא	מידדלסברא	14	0	True	0.8293979167938232
אלטאנא	קאראלאווקא	14	2	True	0.8278793692588806
אלטאנא	אינאווראצלאוו	9	17	True	0.8272825479507446
אלטונא	פפרמ	32	0	True	0.8273245096206665
אלטונא	אשפצין	20	2	True	0.8258302211761475
אלטונא	פרעמיסלא	21	6	True	0.8233675360679626
אלטונא	הארשין	12	13	True	0.8233384490013123
אלטונא	ליעדם	22	9	True	0.8229678273200989
אלטונא	פפדמ	22	0	True	0.8219528794288635
אלטונא	ניישטאדטל	21	2	True	0.8186992406845093
אלטונא	ברעמגארטען	44	1	True	0.8136472702026367
אלטונא	אוהעלי	21	8	True	0.8102335929870605
אלטונא	ראטניצע	9	2	True	0.8095639944076538
אלטונא	אוהעל	7	7	True	0.8095202445983887
אלטונא	אלטאנא	14	16	True	0.8054020404815674
אלטונא	וואלאטשין	16	0	True	0.8022624254226685
אלטונא	פעטריקאוו	16	3	True	0.8013147115707397
אלטונא	וואלזין	6	1	True	0.7996716499328613
אלטונא	פאזעוואלק	9	9	True	0.7990538477897644
אלטונא	סעפלאק	17	0	True	0.7983964085578918
אלטונא	נעשוויז	17	4	True	0.7979311347007751
אלטונא	הארשיטן	15	0	True	0.7970772385597229
אלטונה	איסטריע	3	2	True	0.8801165819168091
אלטונה	בלעניעס	3	2	True	0.8702582716941833
אלטונה	זשערסיי	1	0	True	0.8695485591888428
אלטונה	קסטוריא	4	2	True	0.868026852607727
אלטונה	אושאמיר	1	2	True	0.8674566745758057
אלטונה	קראסוב	3	4	True	0.8661820292472839
אלטונה	מיעליץ	4	2	True	0.8651103973388672
אלטונה	טיטואן	1	2	True	0.8650146722793579
אלטונה	ובמידלעסבארא	1	2	True	0.8643057942390442
אלטונה	מילוואקע	1	2	True	0.864091157913208
אלכסנדריה	אלכסנדריא	1	301	True	0.8557400703430176
אלכסנדריה	קאנסטנטינאפעל	1	69	True	0.8181378245353699
אלכסנדריה	קאנסטאנטינאפול	1	235	True	0.8008930087089539
אלכסנדריה	אדריאנאפעל	2	21	True	0.7949860095977783
אלכסנדריה	קאנסטאנפינאפאל	3	59	True	0.7832422256469727
אלכסנדריה	ספאקס	1	24	True	0.7810126543045044
אלכסנדריה	אדריאנאפאל	1	68	True	0.7781804800033569
אלכסנדריה	הדארדענעלים	1	23	True	0.7777860164642334
אלכסנדריה	סעבאסטופול	1	6	True	0.7682631015777588
אלכסנדריה	ותתיצבנה	1	11	False	0.7644497156143188
אלכסנדריה	קאנסטנטינאפל	2	3	True	0.762758731842041
אלכסנדריה	הבאספהארוס	2	2	True	0.7556827664375305
אלעקסאט	טימקאוויטש	9	5	True	0.9386479258537292
אלעקסאט	לאנצקרוניע	13	3	True	0.9372717142105103
אלעקסאט	איסקאראסט	8	6	True	0.9367209076881409
אלעקסאט	טאהנטשע	8	4	True	0.9363852739334106
אלעקסאט	קאפישאק	5	2	True	0.9343829154968262
אלעקסאט	פילווישאק	11	6	True	0.9334539175033569
אלעקסאט	הורארנא	20	5	True	0.9334408640861511
אלעקסאט	סטאלבצי	19	11	True	0.932197093963623
אלעקסאט	לונטשיץ	9	10	True	0.9321154356002808
אלעקסאט	פאראזאווא	5	4	True	0.9310787916183472
אלעקסאט	ראהאטשוב	1	5	True	0.9309924840927124
אמסטרדאם	גאלוואסטאן	1	2	True	0.8836671113967896
אמסטרדאם	פהיליפופול	8	1	True	0.8752503395080566
אמסטרדאם	מכונהקטנה	1	0	False	0.8728141784667969
אמסטרדאם	בקאנעקטיקוט	1	1	True	0.8687825202941895
אמסטרדם	ליווארנו	11	7	True	0.8518350124359131
אמסטרדם	טשערנאוויטץ	21	8	True	0.8484832644462585
אמסטרדם	קארלשטאדט	17	15	True	0.843826949596405
אמסטרדם	ופינסק	3	6	True	0.8437667489051819
אמסטרדם	אוטיאן	24	11	True	0.8417867422103882
אמסטרדם	באמד	9	0	True	0.8289930820465088
אמסטרדם	ליוורנו	3	8	True	0.826242208480835
אמסטרדם	זידיק	8	4	True	0.8246235847473145
אמסטרדם	אמשטרדאם	3	8	True	0.8224074840545654
אמסטרדם	תקסה	6	0	False	0.8204895257949829
אמסטרדם	סיוון	10	10	False	0.8186658620834351
אמסטרדם	ניקאלסבורג	13	21	True	0.8175467252731323
אמסטרדם	נאסטפריינד	9	0	False	0.8172746896743774
אמסטרדם	סימפעראפעל	23	4	True	0.8159997463226318
אמסטרדם	וואיטצען	21	8	True	0.8135204315185547
אמסטרדם	מננצא	4	9	True	0.8135036826133728
אמשטערדאם	דוגעליסאק	5	1	True	0.9223707914352417
אמשטערדאם	בגובערני	11	1	False	0.9173189997673035
אמשטערדאם	דעמייעווקי	3	1	True	0.9171308279037476
אמשטרדאם	סימפעראפעל	23	4	True	0.8521407842636108
אמשטרדאם	ומשלוחי	1	2	False	0.8313935995101929
אמשטרדאם	באמשטרדאם	4	7	True	0.8258230686187744
אמשטרדאם	שטאקהלם	26	1	True	0.8232507705688477
אמשטרדאם	אמסטרדם	9	22	True	0.8224075436592102
אמשטרדאם	שניפישאק	10	4	True	0.8220784664154053
אמשטרדאם	וואיטצען	21	8	True	0.8214651346206665
אמשטרדאם	שבגליל	1	4	False	0.8211728930473328
אמשטרדאם	פרענצלוי	1	2	True	0.8189253807067871
אמשטרדאם	בולוניא	5	7	True	0.8180652856826782
אמשטרדאם	קארלשטאדט	17	15	True	0.8180478811264038
אמשטרדם	אמסטרדם	9	22	True	0.7508383989334106
אמשטרדם	קראקא	6	282	True	0.7412657737731934
אמשטרדם	לאנדאן	8	912	True	0.7292603850364685
אמשטרדם	אוטיאן	24	11	True	0.7291427850723267
אמשטרדם	פפדמ	22	0	True	0.7214686870574951
אמשטרדם	פראג	9	370	True	0.706184983253479
אמשטרדם	אדעססא	19	579	True	0.701602041721344
אמשטרדם	פפרמ	32	0	True	0.7001355290412903
